2873,11,ירושלים ,3000,ירושלים ,205 ,נחלת צבי ,official ,205
2874,11,ירושלים ,3000,ירושלים ,9705 ,נחלת דב ,synonym of 205 ,205
2875,11,ירושלים ,3000,ירושלים ,206 ,תימא ,official ,206
2876,11,ירושלים ,3000,ירושלים ,207 ,רבי אברהם נאה ,official ,207
2877,11,ירושלים ,3000,ירושלים ,9706 ,רבי אברהם ,synonym of 207 ,207
2878,11,ירושלים ,3000,ירושלים ,208 ,אוצר הספרים ,official ,208
2879,11,ירושלים ,3000,ירושלים ,9707 ,אוצר ספרים ,synonym of 208 ,208
2880,11,ירושלים ,3000,ירושלים ,209 ,שומרי אמונים ,official ,209
2881,11,ירושלים ,3000,ירושלים ,9708 ,ש שומרי אמונ ,synonym of 209 ,209
2882,11,ירושלים ,3000,ירושלים ,9709 ,ק שומרי אמונים ,synonym of 209 ,209
2883,11,ירושלים ,3000,ירושלים ,9710 ,ש שומרי אמון ,synonym of 209 ,209
2884,11,ירושלים ,3000,ירושלים ,210 ,הסנהדרין ,official ,210
2885,11,ירושלים ,3000,ירושלים ,9711 ,סנהדרין ,synonym of 210 ,210
2886,11,ירושלים ,3000,ירושלים ,211 ,דלמן ,official ,211
2887,11,ירושלים ,3000,ירושלים ,212 ,אלישיב ,official ,212
2888,11,ירושלים ,3000,ירושלים ,213 ,יקים ,official ,213
2889,11,ירושלים ,3000,ירושלים ,9712 ,נחלת שמעון ,synonym of 213 ,213
2890,11,ירושלים ,3000,ירושלים ,9713 ,ב יוסף צבי ,synonym of 213 ,213
2891,11,ירושלים ,3000,ירושלים ,9714 ,בית יוסף צבי ,synonym of 213 ,213
2892,11,ירושלים ,3000,ירושלים ,214 ,פתחיה ,official ,214
2893,11,ירושלים ,3000,ירושלים ,215 ,שמריה ,official ,215
2894,11,ירושלים ,3000,ירושלים ,9715 ,שמריהו ,synonym of 215 ,215
2895,11,ירושלים ,3000,ירושלים ,216 ,גמול ,official ,216
2896,11,ירושלים ,3000,ירושלים ,9716 ,גמיל ,synonym of 216 ,216
2897,11,ירושלים ,3000,ירושלים ,217 ,קונדר ,official ,217
2898,11,ירושלים ,3000,ירושלים ,9717 ,קנדר ,synonym of 217 ,217
